id,model_type,model_family,model_name,ckpt_file,url,autoencoder,clip_encoder,image_encoder,t5_encoder,full_json
11,model,v1,Balloon Art (v1),balloonart_v1_f16.ckpt,"","","","","","{""name"":""Balloon Art (v1)"",""upcast_attention"":false,""version"":""v1"",""file"":""balloonart_v1_f16.ckpt"",""prefix"":""balloonart "",""default_scale"":8,""text_encoder"":""balloonart_v1_clip_vit_l14_f16.ckpt"",""converted"":{""balloonart_v1_f16.ckpt"":""f73bcbd3a6db0dca10afb081a2066a7aea5b117962bd26efc37320dfc3b9b759"",""balloonart_v1_clip_vit_l14_f16.ckpt"":""6be250d1c38325f7ee80f3fcd99e1a490f28deb29a8f78188813e8157f1949b3""}}"
12,model,flux1,Chroma1 HD,chroma_1_hd_r0.1_q8p.ckpt,"",flux_1_vae_f16.ckpt,clip_vit_l14_f16.ckpt,"","","{""name"":""Chroma1 HD"",""version"":""flux1"",""autoencoder"":""flux_1_vae_f16.ckpt"",""prefix"":"""",""default_scale"":16,""hires_fix_scale"":24,""file"":""chroma_1_hd_r0.1_q8p.ckpt"",""upcast_attention"":false,""text_encoder"":""t5_xxl_encoder_q6p.ckpt"",""clip_encoder"":""clip_vit_l14_f16.ckpt"",""high_precision_autoencoder"":true,""padded_text_encoding_length"":256,""objective"":{""u"":{""condition_scale"":1000}},""mmdit"":{""dual_attention_layers"":[],""distilled_guidance_layers"":5,""qk_norm"":true},""converted"":{""chroma_1_hd_r0.1_q8p.ckpt"":""b4313f59293088ba085c6a3dbfeea237d28faaced5dc39a3f73738ccb27f5242"",""chroma_1_hd_r0.1_q5p.ckpt"":""ce0ab4a8b8e653c3d353dad8cb81c83885e0c86f81e326516b85cca35fda2111""},""note"":""See more about [Chroma1 HD](https://huggingface.co/lodestones/Chroma1-HD).""}"
13,model,flux1,Chroma v47 Detail Calibrated,chroma_v47_detail_calibrated_q8p.ckpt,"",flux_1_vae_f16.ckpt,clip_vit_l14_f16.ckpt,"","","{""name"":""Chroma v47 Detail Calibrated"",""version"":""flux1"",""autoencoder"":""flux_1_vae_f16.ckpt"",""prefix"":"""",""default_scale"":16,""hires_fix_scale"":24,""file"":""chroma_v47_detail_calibrated_q8p.ckpt"",""upcast_attention"":false,""text_encoder"":""t5_xxl_encoder_q6p.ckpt"",""clip_encoder"":""clip_vit_l14_f16.ckpt"",""high_precision_autoencoder"":true,""padded_text_encoding_length"":256,""objective"":{""u"":{""condition_scale"":1000}},""mmdit"":{""dual_attention_layers"":[],""distilled_guidance_layers"":5,""qk_norm"":true},""converted"":{""chroma_v47_detail_calibrated_q8p.ckpt"":""717c534e222b76c41ae4eb9ec3f6b09e2b83315c9c919b9b0eb5d9caa49e0829"",""chroma_v47_detail_calibrated_q5p.ckpt"":""5fcd2ac5612bb56f4679356367091a67e21e88a86dad91539c22777c6216c0c0""},""note"":""See more about [Chroma](https://huggingface.co/lodestones/Chroma).""}"
14,model,flux1,Chroma v48 Detail Calibrated,chroma_v48_detail_calibrated_q8p.ckpt,"",flux_1_vae_f16.ckpt,clip_vit_l14_f16.ckpt,"","","{""name"":""Chroma v48 Detail Calibrated"",""version"":""flux1"",""autoencoder"":""flux_1_vae_f16.ckpt"",""prefix"":"""",""default_scale"":16,""hires_fix_scale"":24,""file"":""chroma_v48_detail_calibrated_q8p.ckpt"",""upcast_attention"":false,""text_encoder"":""t5_xxl_encoder_q6p.ckpt"",""clip_encoder"":""clip_vit_l14_f16.ckpt"",""high_precision_autoencoder"":true,""padded_text_encoding_length"":256,""objective"":{""u"":{""condition_scale"":1000}},""mmdit"":{""dual_attention_layers"":[],""distilled_guidance_layers"":5,""qk_norm"":true},""converted"":{""chroma_v48_detail_calibrated_q8p.ckpt"":""69ed90c14b99fd58dc2b4aac6404fa2ef6cc8a2a15153e14598a36404ddc1102"",""chroma_v48_detail_calibrated_q5p.ckpt"":""583be60a6f91d07c4994a9b2a59bcf0e9d678cec272ceb23491b3c1a8a8acc82""},""note"":""See more about [Chroma](https://huggingface.co/lodestones/Chroma).""}"
15,model,v1,Classic Animation (v1),classicanim_v1_f16.ckpt,"","","","","","{""text_encoder"":""classicanim_v1_clip_vit_l14_f16.ckpt"",""default_scale"":8,""version"":""v1"",""file"":""classicanim_v1_f16.ckpt"",""prefix"":""classic disney style "",""name"":""Classic Animation (v1)"",""upcast_attention"":false,""converted"":{""classicanim_v1_f16.ckpt"":""168799472175b77492814ae3cf5e9f793a3d3d009592a9e5b03781626ea25590"",""classicanim_v1_clip_vit_l14_f16.ckpt"":""77cfbb6054a2a5581873c3b1be8c6457bed526d1f15d6cffb6e381401692a488""}}"
16,model,sdxl_base_v0.9,ColorfulXL v6.0,colorfulxl_v6.0_f16.ckpt,"",sdxl_vae_v1.0_f16.ckpt,colorfulxl_v6.0_clip_vit_l14_f16.ckpt,"","","{""download"":{""file"":""https://civitai.com/api/download/models/569951"",""autoencoder"":""""},""autoencoder"":""sdxl_vae_v1.0_f16.ckpt"",""default_scale"":16,""prefix"":"""",""version"":""sdxl_base_v0.9"",""upcast_attention"":false,""name"":""ColorfulXL v6.0"",""modifier"":""none"",""clip_encoder"":""colorfulxl_v6.0_clip_vit_l14_f16.ckpt"",""file"":""colorfulxl_v6.0_f16.ckpt"",""text_encoder"":""colorfulxl_v6.0_open_clip_vit_bigg14_f16.ckpt"",""converted"":{""colorfulxl_v6.0_clip_vit_l14_f16.ckpt"":""e7f9dee9d9d64d9996223a010efa369925fb09581cb27e2061f135612a277595"",""colorfulxl_v6.0_f16.ckpt"":""1c87413ad567514a1010ec55ed3fcdbd93b4d2fd46ade4cd92cf2d52a2054252"",""colorfulxl_v6.0_open_clip_vit_bigg14_f16.ckpt"":""e0f6578b83b5d59a42a2f2370d57bd554cefdf65aad207b4d5a79b82d97523ca"",""colorfulxl_v6.0_q6p_q8p.ckpt"":""6079cf5bf05890068c6cb613c35f54986fe3bfd1ace808ba868823c94689277c""}}"
17,model,v1,Counterfeit v3.0,counterfeit_v3.0_f16.ckpt,"","","","","","{""download"":{""file"":""https://huggingface.co/gsdf/Counterfeit-V3.0/resolve/main/Counterfeit-V3.0_fix_fp16.safetensors""},""version"":""v1"",""default_scale"":8,""prefix"":"""",""name"":""Counterfeit v3.0"",""upcast_attention"":false,""modifier"":""none"",""file"":""counterfeit_v3.0_f16.ckpt"",""text_encoder"":""counterfeit_v3.0_clip_vit_l14_f16.ckpt"",""converted"":{""counterfeit_v3.0_f16.ckpt"":""fd85b39c875be5e29b276f020faad5ea60fb0eb71384100d88464bd17218a704"",""counterfeit_v3.0_clip_vit_l14_f16.ckpt"":""d48a3558c8ed2a2fb4f89d67a5cab0d890a667229765b5d474714b3125bc83bb"",""counterfeit_v3.0_q6p_q8p.ckpt"":""5c3df62a5aa31390644211019ce11222392ac02915949dc09f360c90404fc7aa""}}"
18,model,v1,Cyberpunk Anime,cyberpunk_anime_f16.ckpt,"","","","","","{""prefix"":""dgs illustration style "",""file"":""cyberpunk_anime_f16.ckpt"",""default_scale"":8,""upcast_attention"":false,""version"":""v1"",""name"":""Cyberpunk Anime"",""text_encoder"":""cyberpunk_anime_clip_vit_l14_f16.ckpt"",""converted"":{""cyberpunk_anime_f16.ckpt"":""df55b6c66704b51921e31711adaab9e37bd78fc10733fcd89e6f86426230ef41"",""cyberpunk_anime_clip_vit_l14_f16.ckpt"":""d62bb1de4b579d73111b3355cad72b1d8f3bf22519c4bfd1a224bdd952cd0279""}}"
19,model,v1,Deliberate v2.0 (8-bit),deliberate_v2_q6p_q8p.ckpt,"","","","","","{""version"":""v1"",""name"":""Deliberate v2.0 (8-bit)"",""file"":""deliberate_v2_q6p_q8p.ckpt"",""prefix"":"""",""text_encoder"":""deliberate_v2_clip_vit_l14_f16.ckpt"",""default_scale"":8,""upcast_attention"":false,""converted"":{""deliberate_v2_q6p_q8p.ckpt"":""4441ea31f748a5af97021747bc457e78ae0c8d632f819a26cb8019610972c0f0"",""deliberate_v2_clip_vit_l14_f16.ckpt"":""79dc846fe47f4bd5188bce108c9791f36cc2927bed6f96c8dc7369b345539d81""}}"
20,model,flux1,devMODE v0.3 Turbo,devmode_v0.3_turbo_q8p.ckpt,"",flux_1_vae_f16.ckpt,clip_vit_l14_f16.ckpt,"","","{""name"":""devMODE v0.3 Turbo"",""version"":""flux1"",""autoencoder"":""flux_1_vae_f16.ckpt"",""prefix"":"""",""default_scale"":16,""hires_fix_scale"":24,""file"":""devmode_v0.3_turbo_q8p.ckpt"",""upcast_attention"":false,""text_encoder"":""t5_xxl_encoder_q6p.ckpt"",""clip_encoder"":""clip_vit_l14_f16.ckpt"",""high_precision_autoencoder"":true,""is_consistency_model"":true,""padded_text_encoding_length"":256,""objective"":{""u"":{""condition_scale"":1000}},""converted"":{""devmode_v0.3_turbo_q5p_svd.ckpt"":""10c98e63617196c6019e681456f0304750f26efd7da3bb72df462e8700276f34"",""devmode_v0.3_turbo_q8p.ckpt"":""fe4f6a46f1b65523e13b759cf50f88f7de5b10a2f2c46a41e6ecf171e81014c1""}}"
21,model,v1,Disney Pixar Cartoon Type B (8-bit),disney_pixar_cartoon_type_b_q6p_q8p.ckpt,"","","","","","{""default_scale"":8,""text_encoder"":""disney_pixar_cartoon_type_b_clip_vit_l14_f16.ckpt"",""upcast_attention"":false,""prefix"":"""",""file"":""disney_pixar_cartoon_type_b_q6p_q8p.ckpt"",""name"":""Disney Pixar Cartoon Type B (8-bit)"",""version"":""v1"",""converted"":{""disney_pixar_cartoon_type_b_q6p_q8p.ckpt"":""31f38b788e1acdde65288f1e3780c64df9c98cd5fa7fa38bce5bce085f633d95"",""disney_pixar_cartoon_type_b_clip_vit_l14_f16.ckpt"":""0401d93b66dff9de82521765bbcb2292904a247e22155158d91f83aef4b4d351""}}"
22,model,v1,DnD Classes and Species,dnd_classes_and_species_f16.ckpt,"","","","","","{""file"":""dnd_classes_and_species_f16.ckpt"",""prefix"":"""",""upcast_attention"":false,""default_scale"":8,""version"":""v1"",""text_encoder"":""dnd_classes_and_species_clip_vit_l14_f16.ckpt"",""name"":""DnD Classes and Species"",""converted"":{""dnd_classes_and_species_f16.ckpt"":""a6059246c1c06edc73646c77a1aa819ca641e0d8ceba0e25365938ab71311174"",""dnd_classes_and_species_clip_vit_l14_f16.ckpt"":""09fdf2d991591947e2743e8431e9d6eaf99fe2f524de9c752ebb7a4289225b02""}}"
23,model,v1,DreamShaper v6.31 (8-bit),dreamshaper_v6.31_q6p_q8p.ckpt,"","","","","","{""file"":""dreamshaper_v6.31_q6p_q8p.ckpt"",""version"":""v1"",""default_scale"":8,""text_encoder"":""dreamshaper_v6.31_clip_vit_l14_f16.ckpt"",""prefix"":"""",""name"":""DreamShaper v6.31 (8-bit)"",""upcast_attention"":false,""converted"":{""dreamshaper_v6.31_q6p_q8p.ckpt"":""14a9c0e4a5ebb4a66d4fd882135e60a3951e5d1d96e802cbf2106e91427e349f"",""dreamshaper_v6.31_clip_vit_l14_f16.ckpt"":""7384f31ea620891a7bca84c3b537beda7dbc5473873c90810b797e14ab263fc4""}}"
24,model,v1,DreamShaper v8,dreamshaper_v8_f16.ckpt,"","","","","","{""download"":{""file"":""https://civitai.com/api/download/models/128713?type=Model&format=SafeTensor&size=pruned&fp=fp16""},""version"":""v1"",""default_scale"":12,""prefix"":"""",""name"":""DreamShaper v8"",""upcast_attention"":false,""file"":""dreamshaper_v8_f16.ckpt"",""text_encoder"":""dreamshaper_v8_clip_vit_l14_f16.ckpt"",""modifier"":""none"",""converted"":{""dreamshaper_v8_f16.ckpt"":""029f427a534a83d37fa8d803924504c7225c537569711334f61029abfed188d1"",""dreamshaper_v8_clip_vit_l14_f16.ckpt"":""0973d0d881b889f644bd1906f63480e3a5d3081d03c0bb23539a98e69fe9c287"",""dreamshaper_v8_q6p_q8p.ckpt"":""7149dba7524adcc5914746c91014bbcbb3876719a3898cdd967d6c0a1d3df42f""}}"
25,model,sdxl_base_v0.9,DreamShaper XL v2.1 Turbo,dreamshaper_xl_v2.1_turbo_f16.ckpt,"",sdxl_vae_v1.0_f16.ckpt,dreamshaper_xl_v2.1_turbo_clip_vit_l14_f16.ckpt,"","","{""download"":{""file"":""https://huggingface.co/Lykon/dreamshaper-xl-v2-turbo/resolve/main/DreamShaperXL_Turbo_v2_1.safetensors"",""autoencoder"":""""},""autoencoder"":""sdxl_vae_v1.0_f16.ckpt"",""default_scale"":16,""prefix"":"""",""version"":""sdxl_base_v0.9"",""upcast_attention"":false,""name"":""DreamShaper XL v2.1 Turbo"",""modifier"":""none"",""clip_encoder"":""dreamshaper_xl_v2.1_turbo_clip_vit_l14_f16.ckpt"",""file"":""dreamshaper_xl_v2.1_turbo_f16.ckpt"",""text_encoder"":""dreamshaper_xl_v2.1_turbo_open_clip_vit_bigg14_f16.ckpt"",""converted"":{""dreamshaper_xl_v2.1_turbo_clip_vit_l14_f16.ckpt"":""59820ac734bb73cbba15674f6d554fe7d0174b8ca1e5357a610a330e9c291f8b"",""dreamshaper_xl_v2.1_turbo_f16.ckpt"":""9f24ce8baee52389025ad4da341dd5b0b7889bee16ccb3f25b07056c4827ee29"",""dreamshaper_xl_v2.1_turbo_open_clip_vit_bigg14_f16.ckpt"":""9c0163e4fa432545ee2c67d550b0c8a59cde0578a8ac7ef4ead4b26ce7946258"",""dreamshaper_xl_v2.1_turbo_q6p_q8p.ckpt"":""27ff16320a3efbec46c2a61d941d07d8d477d16146a91279b057d96e136033c9""}}"
26,model,v1,Dungeons and Diffusion (30000),dnd_30000_f16.ckpt,"","","","","","{""version"":""v1"",""file"":""dnd_30000_f16.ckpt"",""prefix"":"""",""default_scale"":8,""upcast_attention"":false,""name"":""Dungeons and Diffusion (30000)"",""text_encoder"":""dnd_30000_clip_vit_l14_f16.ckpt"",""converted"":{""dnd_30000_f16.ckpt"":""3de9309cf4541168fb39d96eaba760146b42e7e9870a3096eb4cd097384ea1d9"",""dnd_30000_clip_vit_l14_f16.ckpt"":""96c75d1c11030a51aa8dac5410cc6fa98b071b52f0f79a07097df022b20754dc""}}"
27,model,v1,Elden Ring (v3),eldenring_v3_f16.ckpt,"","","","","","{""prefix"":""elden ring style "",""upcast_attention"":false,""name"":""Elden Ring (v3)"",""file"":""eldenring_v3_f16.ckpt"",""default_scale"":8,""text_encoder"":""eldenring_v3_clip_vit_l14_f16.ckpt"",""version"":""v1"",""converted"":{""eldenring_v3_f16.ckpt"":""c6b79886e426d654c9e84cf53a7dd572fbb9e7083c47384a76d02702c54c50c3"",""eldenring_v3_clip_vit_l14_f16.ckpt"":""dcd2234e90f8df2c4eb706f665fa860ad54df2ae109cfcd8b235c1c420bd2d4d""}}"
28,model,v1,F222,f222_f16.ckpt,"","","","","","{""upcast_attention"":false,""version"":""v1"",""name"":""F222"",""file"":""f222_f16.ckpt"",""prefix"":"""",""default_scale"":8,""converted"":{""f222_f16.ckpt"":""ae19854df68e232c3bbda8b9322e9f56ccd2d96517a31a82694c40382003f8ae""}}"
29,model,flux1,FLUX.1 Canny [dev],flux_1_canny_dev_q8p.ckpt,"",flux_1_vae_f16.ckpt,clip_vit_l14_f16.ckpt,"","","{""name"":""FLUX.1 Canny [dev]"",""version"":""flux1"",""autoencoder"":""flux_1_vae_f16.ckpt"",""prefix"":"""",""modifier"":""canny"",""default_scale"":16,""hires_fix_scale"":24,""file"":""flux_1_canny_dev_q8p.ckpt"",""upcast_attention"":false,""text_encoder"":""t5_xxl_encoder_q6p.ckpt"",""clip_encoder"":""clip_vit_l14_f16.ckpt"",""high_precision_autoencoder"":true,""guidance_embed"":true,""padded_text_encoding_length"":512,""objective"":{""u"":{""condition_scale"":1000}},""converted"":{""flux_1_canny_dev_q8p.ckpt"":""4dfbb749129b0d92d7ea7da2412ca9af64f7bd44dab5207c79f5da64e8c5556a"",""flux_1_canny_dev_q5p.ckpt"":""d993fe21f76b52bb23620fab96c591367fe7276d045167c762bfad233003e6fe""}}"
30,model,flux1,FLUX.1 Depth [dev],flux_1_depth_dev_q8p.ckpt,"",flux_1_vae_f16.ckpt,clip_vit_l14_f16.ckpt,"","","{""name"":""FLUX.1 Depth [dev]"",""version"":""flux1"",""autoencoder"":""flux_1_vae_f16.ckpt"",""prefix"":"""",""modifier"":""depth"",""default_scale"":16,""hires_fix_scale"":24,""file"":""flux_1_depth_dev_q8p.ckpt"",""upcast_attention"":false,""text_encoder"":""t5_xxl_encoder_q6p.ckpt"",""clip_encoder"":""clip_vit_l14_f16.ckpt"",""high_precision_autoencoder"":true,""guidance_embed"":true,""padded_text_encoding_length"":512,""objective"":{""u"":{""condition_scale"":1000}},""converted"":{""flux_1_depth_dev_q8p.ckpt"":""f38d267905927607696715d26060a7e28247f3842640043a5ebab540eb45b706"",""flux_1_depth_dev_q5p.ckpt"":""1d87451d059ae8c2162ed827293f1f6cb19667b120db73db650040b1f234e6cc""}}"
